open,close,low,high,volume
1.071505,1.071465,1.071435,1.071615,0
1.071465,1.071355,1.071355,1.071535,0
1.071305,1.071225,1.071205,1.071365,0
1.071255,1.071305,1.071245,1.071405,0
1.071275,1.071345,1.071205,1.071345,0
1.071345,1.071405,1.071225,1.071415,0
1.071405,1.071375,1.071295,1.071405,0
1.071375,1.071535,1.071375,1.071535,0
1.071535,1.071625,1.071465,1.071665,0
1.071645,1.071485,1.071485,1.071645,0
1.071485,1.071515,1.071305,1.071525,0
1.071515,1.071385,1.071385,1.071555,0
1.071385,1.071325,1.071265,1.071395,0
1.071325,1.071395,1.071315,1.071505,0
1.071395,1.071405,1.071385,1.071485,0
1.071405,1.071495,1.071325,1.071495,0
1.071495,1.071785,1.071435,1.071785,0
1.071805,1.071635,1.071615,1.071845,0
1.071635,1.071705,1.071565,1.071725,0
1.071695,1.071655,1.071605,1.071725,0
1.071645,1.071795,1.071595,1.071845,0
1.071805,1.071955,1.071795,1.071955,0
1.071945,1.071655,1.071645,1.071945,0
1.071665,1.071655,1.071555,1.071685,0
1.071655,1.071565,1.071445,1.071655,0
1.071555,1.071565,1.071475,1.071615,0
1.071565,1.071645,1.071565,1.071645,0
1.071655,1.071905,1.071655,1.071915,0
1.071915,1.071885,1.071885,1.072015,0
1.071895,1.071885,1.071815,1.071905,0
1.071875,1.072015,1.071875,1.072105,0
1.072015,1.072045,1.071955,1.072085,0
1.072045,1.071955,1.071915,1.072055,0
1.071955,1.071925,1.071805,1.071955,0
1.071925,1.071915,1.071865,1.071955,0
1.071915,1.072115,1.071845,1.072135,0
1.072085,1.071735,1.071735,1.072105,0
1.071725,1.071775,1.071675,1.071795,0
1.071775,1.072085,1.071755,1.072085,0
1.072095,1.071965,1.071925,1.072125,0
1.071965,1.072095,1.071965,1.072105,0
1.072095,1.071975,1.071935,1.072165,0
1.071975,1.072015,1.071905,1.072015,0
1.072025,1.071695,1.071645,1.072025,0
1.071685,1.071725,1.071685,1.071795,0
1.071725,1.071595,1.071585,1.071755,0
1.071605,1.071635,1.071605,1.071795,0
1.071645,1.071795,1.071645,1.071835,0
1.071795,1.071665,1.071635,1.071925,0
1.071665,1.071605,1.071535,1.071675,0
