open,close,low,high
1.07854,1.078525,1.07847,1.07856
1.07853,1.078545,1.078475,1.07887
1.078545,1.07856,1.078495,1.07867
1.07856,1.078425,1.078425,1.07858
1.07842,1.07848,1.0784,1.07854
1.07848,1.07851,1.07842,1.07854
1.078505,1.07857,1.07847,1.07863
1.07857,1.07838,1.07838,1.078575
1.078375,1.078685,1.078375,1.07869
1.07869,1.07889,1.07867,1.078905
1.078895,1.078885,1.07883,1.07895
1.07888,1.07868,1.078575,1.07888
1.078675,1.07872,1.078605,1.078725
1.078715,1.0789,1.078655,1.07898
1.078895,1.078965,1.07884,1.07899
1.07897,1.079045,1.078935,1.07912
1.07905,1.07879,1.07879,1.079065
1.078785,1.07903,1.078785,1.07903
1.07903,1.079175,1.07898,1.0792
1.07917,1.07934,1.07916,1.07934
1.079335,1.07946,1.079305,1.079485
1.079455,1.079485,1.07935,1.079485
1.07949,1.07928,1.07923,1.07949
1.079275,1.07939,1.079255,1.079405
1.07939,1.079585,1.07938,1.079605
1.07958,1.07957,1.07951,1.079705
1.079565,1.07964,1.07953,1.07964
1.079635,1.079745,1.07963,1.07976
1.079745,1.079845,1.07967,1.079845
1.07985,1.079845,1.07977,1.07991
1.07985,1.079935,1.079815,1.07996
1.07994,1.079885,1.079855,1.079995
1.07989,1.07988,1.07978,1.079925
1.079885,1.07981,1.07974,1.07996
1.079805,1.079715,1.079715,1.079935
1.07971,1.07972,1.07965,1.079735
1.07971,1.079755,1.07965,1.07976
1.07976,1.07973,1.079715,1.07988
1.079725,1.07957,1.07957,1.07973
1.079565,1.07948,1.07944,1.079585
1.079475,1.07943,1.07937,1.07948
1.079425,1.07934,1.07931,1.07943
1.079335,1.079325,1.07928,1.07938
1.07933,1.079335,1.07926,1.07949
1.07933,1.07929,1.07927,1.079415
1.079295,1.07919,1.07907,1.079295
1.079185,1.078805,1.078685,1.079185
1.0788,1.078885,1.078795,1.079115
1.07889,1.07897,1.07882,1.079005
1.078965,1.07886,1.07886,1.078965
1.07884,1.07897,1.078765,1.079005
1.078975,1.07892,1.078795,1.078975
1.078925,1.07871,1.07871,1.07896
1.078715,1.078905,1.078615,1.078945
1.07891,1.078955,1.07885,1.07903
1.07896,1.078775,1.078765,1.07898
1.07878,1.078525,1.078515,1.0788
1.07852,1.078475,1.07817,1.07862
1.07848,1.078525,1.078345,1.078555
1.07853,1.07871,1.07853,1.07876
1.078705,1.07874,1.078675,1.078865
1.07872,1.07893,1.078555,1.07907
1.078925,1.07899,1.07891,1.07913
1.078995,1.07942,1.078905,1.07943
1.07943,1.079565,1.07942,1.07966
1.07956,1.07944,1.079375,1.079605
1.07943,1.079445,1.079345,1.079505
1.07945,1.079385,1.079265,1.07945
1.07939,1.0794,1.079315,1.079535
1.079395,1.07925,1.079185,1.079405
1.079255,1.0791,1.07908,1.079255
1.079105,1.07889,1.078875,1.07911
1.078895,1.0788,1.078795,1.078945
1.078805,1.079,1.078755,1.079055
1.079005,1.07875,1.078745,1.079005
1.078745,1.07849,1.07835,1.078755
1.078495,1.07844,1.078275,1.078505
1.078445,1.078605,1.07838,1.07861
1.0786,1.078635,1.078455,1.07871
1.07863,1.078625,1.07851,1.078715
1.07862,1.0785,1.07849,1.07873
1.078495,1.078015,1.07794,1.0785
1.07802,1.07809,1.07797,1.0781
1.078085,1.07786,1.077855,1.078085
1.077865,1.07811,1.077865,1.078225
1.078105,1.07817,1.078095,1.07823
1.078165,1.078255,1.077985,1.07826
1.07826,1.07832,1.078205,1.078415
1.078315,1.078285,1.078225,1.078315
1.078275,1.078175,1.07816,1.07829
1.07817,1.077985,1.07798,1.078205
1.07798,1.077595,1.07754,1.07809
1.0776,1.077735,1.0775,1.077795
1.077735,1.07769,1.07758,1.07779
1.077685,1.07783,1.077575,1.077835
1.077825,1.077745,1.07767,1.07783
1.07774,1.07795,1.07763,1.077955
1.07795,1.077965,1.07789,1.078005
1.077955,1.07806,1.077955,1.07812
1.078065,1.07806,1.07804,1.07823
1.078055,1.07784,1.07783,1.078055
1.07784,1.077955,1.07768,1.07804
1.07795,1.077905,1.07784,1.077965
1.0779,1.07781,1.077745,1.077915
1.077805,1.077715,1.07759,1.07782
1.07772,1.07774,1.07771,1.07782
1.077735,1.077775,1.077605,1.077815
1.07777,1.0778,1.07752,1.077805
1.077795,1.077865,1.07771,1.07787
1.07786,1.07786,1.07776,1.077885
1.07786,1.07791,1.07784,1.077945
1.0779,1.07795,1.07785,1.07797
1.077945,1.077895,1.07787,1.07795
1.077895,1.07795,1.077895,1.07799
1.077955,1.077875,1.07787,1.077985
1.07788,1.077985,1.077875,1.07799
1.07798,1.07794,1.07782,1.078015
1.07795,1.077935,1.07783,1.077955
1.077945,1.07799,1.07793,1.078025
1.077995,1.077985,1.07797,1.078125
1.07799,1.07783,1.077765,1.077995
1.077835,1.077675,1.07758,1.07806
1.077675,1.077735,1.077615,1.077855
1.07773,1.077535,1.07753,1.07773
1.07754,1.077675,1.0775,1.0778
1.07768,1.07765,1.077645,1.077735
1.077645,1.07761,1.077515,1.077645
1.077605,1.07779,1.077605,1.07783
1.07779,1.0778,1.077715,1.07786
1.0778,1.07785,1.077795,1.077925
1.07785,1.077715,1.0777,1.07787
1.077715,1.077825,1.0777,1.07786
1.07783,1.07759,1.077575,1.07783
1.077595,1.07761,1.077565,1.077735
1.07761,1.077695,1.077555,1.07776
1.077695,1.07764,1.07756,1.07772
1.07763,1.077705,1.077465,1.077725
1.077715,1.07786,1.077715,1.078
1.07786,1.077915,1.0778,1.077925
1.077915,1.077915,1.0779,1.07796
1.077915,1.07777,1.07764,1.077935
1.07776,1.077455,1.07742,1.077765
1.077455,1.07703,1.077015,1.07746
1.077025,1.07713,1.077015,1.07714
1.07714,1.07718,1.07702,1.07722
1.077185,1.077145,1.077145,1.077305
1.07715,1.077225,1.076945,1.077225
1.07722,1.077165,1.077025,1.077245
1.077165,1.077045,1.07704,1.077345
