open,close,low,high,volume
161.5145,161.5615,161.5055,161.573,1051
161.562,161.412,161.4025,161.5635,1419
161.4135,161.441,161.4095,161.4645,1118
161.438,161.3815,161.3775,161.4485,1188
161.3835,161.3335,161.302,161.436,2752
161.333,161.331,161.309,161.3715,2274
161.332,161.304,161.2555,161.3405,1432
161.303,161.3265,161.29,161.358,1414
161.327,161.302,161.273,161.3545,1413
161.3025,161.303,161.2895,161.415,1804
161.3045,161.2425,161.231,161.325,1845
161.2415,161.2685,161.238,161.2975,1666
161.27,161.2905,161.2375,161.2975,1395
161.2925,161.369,161.2925,161.378,1889
161.3695,161.387,161.3305,161.402,1673
161.388,161.4005,161.3265,161.4355,1372
161.401,161.346,161.34,161.4505,1496
161.3445,161.3785,161.338,161.394,1383
161.379,161.3475,161.3465,161.4105,1248
161.347,161.316,161.29,161.3685,1198
161.317,161.342,161.2735,161.342,1696
161.3425,161.428,161.3055,161.429,1808
161.4285,161.4095,161.339,161.4545,1571
161.41,161.3865,161.382,161.4305,1284
161.386,161.4425,161.378,161.4865,1431
161.4415,161.44,161.3695,161.4585,1561
161.439,161.471,161.421,161.4935,1789
161.4715,161.5,161.4555,161.5235,1911
161.4995,161.534,161.4945,161.554,1566
161.5335,161.4255,161.413,161.5335,1668
161.426,161.459,161.42,161.515,1299
161.4595,161.536,161.442,161.5535,1542
161.537,161.492,161.461,161.5435,1419
161.4905,161.393,161.384,161.4945,1692
161.392,161.3725,161.357,161.423,1514
161.372,161.3745,161.336,161.4105,1390
161.3765,161.323,161.3015,161.3765,1329
161.3235,161.3165,161.3085,161.3435,1485
161.317,161.321,161.2945,161.343,1765
161.3205,161.4125,161.3185,161.4765,1796
161.412,161.39,161.3645,161.431,1581
161.3915,161.266,161.262,161.4205,1756
161.2655,161.235,161.2325,161.315,1651
161.2355,161.181,161.162,161.2395,1508
161.1815,161.0855,161.064,161.185,1595
161.085,161.021,161.009,161.0945,1188
161.0195,160.974,160.9715,161.033,1301
160.9725,160.8725,160.863,160.997,1851
160.873,160.955,160.854,160.9655,1768
160.9555,160.974,160.9285,161.016,1376
160.9745,160.911,160.8245,160.9995,2381
160.9105,160.976,160.866,160.9815,1824
160.9755,160.9935,160.9525,160.998,1490
160.992,161.026,160.9885,161.112,1809
161.027,161.1075,161.0205,161.1165,1365
161.108,161.062,161.0555,161.1555,1669
161.0545,161.1075,161.0255,161.116,1671
161.107,160.9995,160.998,161.1075,1996
161.0,161.0635,160.9725,161.073,1942
161.064,161.0415,161.02,161.1055,1959
161.0405,160.895,160.8875,161.0605,2301
160.8965,160.831,160.8115,160.9325,1842
160.8315,160.9165,160.83,160.9195,1378
160.916,160.9645,160.8745,160.965,1558
160.965,160.676,160.659,161.004,3059
160.677,160.758,160.6765,160.834,3083
160.7575,160.901,160.7145,160.9095,2743
160.9015,160.965,160.86,160.972,2675
160.9665,160.9605,160.9065,160.998,2206
160.9595,160.857,160.8505,160.9725,1684
160.8575,160.7825,160.7785,160.862,1906
160.784,160.773,160.717,160.805,1507
160.7725,160.863,160.762,160.8645,1704
160.8635,160.859,160.8495,160.9065,1693
160.86,160.779,160.7675,160.886,1902
160.778,160.7985,160.753,160.8695,1713
160.8,160.8165,160.7645,160.83,1726
160.8145,160.84,160.7805,160.857,1846
160.8395,160.8865,160.822,160.888,1332
160.887,160.873,160.8325,160.9395,1851
160.8735,160.842,160.82,160.9055,2113
160.8425,160.7765,160.759,160.845,1774
160.7725,160.954,160.767,160.9665,1885
160.955,160.9835,160.9385,160.9935,1733
160.9825,161.0445,160.963,161.051,1737
161.0455,161.0145,160.999,161.0765,1725
161.015,161.0305,160.982,161.0585,1936
161.0315,161.0735,161.0305,161.091,1550
161.074,160.991,160.9865,161.0785,2029
160.9905,160.9955,160.963,161.036,1716
160.996,161.042,160.978,161.0525,1471
161.0405,160.992,160.965,161.042,1207
160.9915,161.0365,160.9585,161.062,1254
161.037,161.0215,161.0005,161.056,1191
161.022,161.0195,160.9975,161.0805,1283
161.02,161.044,160.9795,161.0495,1588
161.0435,160.9765,160.969,161.051,1637
160.978,161.0055,160.948,161.0315,1355
161.006,160.961,160.9285,161.0125,1514
160.9605,160.956,160.899,160.972,2017
160.9565,161.015,160.916,161.0355,1670
161.0145,161.033,160.991,161.059,1587
161.034,161.0355,160.9955,161.0665,1505
161.035,160.9935,160.992,161.067,1459
160.994,160.995,160.954,161.014,1846
160.9955,160.938,160.9365,161.006,2216
160.938,160.8965,160.8665,160.938,1854
160.897,160.8915,160.871,160.936,1936
160.892,160.934,160.8855,161.0165,1947
160.9355,161.001,160.926,161.002,1194
161.0015,161.021,160.9755,161.0485,2120
161.0195,161.018,160.997,161.0435,1072
161.0195,161.005,160.98,161.031,1295
161.0055,161.023,160.9785,161.044,1444
161.022,161.0,160.985,161.036,1640
160.999,160.98,160.9295,161.009,1083
160.9795,161.0165,160.968,161.035,927
161.017,161.048,160.9665,161.0525,1628
161.0475,161.0455,161.022,161.072,1154
161.045,161.0205,160.992,161.0665,1122
161.0225,161.0455,160.975,161.0665,1202
161.046,161.018,160.9755,161.0505,1434
161.0185,161.0035,160.9645,161.0245,1159
161.004,161.002,160.989,161.0465,1190
161.003,160.908,160.9075,161.0275,1531
160.9095,160.8725,160.87,160.946,1467
160.872,160.829,160.776,160.875,1368
160.8285,160.86,160.825,160.871,1015
160.857,160.755,160.7355,160.859,1413
160.7545,160.636,160.631,160.785,1698
160.6355,160.6495,160.5625,160.6535,1659
160.649,160.7615,160.634,160.78,1213
160.761,160.8705,160.7585,160.8765,1667
160.87,160.86,160.8435,160.898,889
160.8605,160.793,160.764,160.862,1348
160.7915,160.746,160.708,160.8075,1737
160.747,160.7175,160.702,160.75,1504
160.718,160.7155,160.6635,160.741,1400
160.7165,160.7485,160.7145,160.808,1415
160.748,160.6735,160.663,160.7635,1089
160.675,160.795,160.6585,160.804,1148
160.7955,160.758,160.73,160.834,1790
160.7585,160.809,160.7155,160.815,1268
160.808,160.7975,160.792,160.8375,1131
160.7985,160.8685,160.773,160.8765,1593
160.8695,160.813,160.7665,160.8775,1583
160.8125,160.86,160.7985,160.8885,1454
160.8595,160.7975,160.797,160.8855,1693
160.798,160.836,160.7905,160.8705,1340
160.8365,160.9305,160.8365,160.936,1616
160.931,160.8645,160.8425,160.959,1704
160.864,160.767,160.7515,160.8655,1169
160.7665,160.761,160.71,160.7725,1426
160.761,160.796,160.737,160.7965,1082
160.7955,160.792,160.748,160.8075,1234
160.7915,160.799,160.7645,160.833,1204
160.7995,160.823,160.7855,160.85,1331
160.8235,160.8455,160.7655,160.8615,1513
160.846,160.862,160.8225,160.8915,1552
160.8615,160.9205,160.856,160.9285,1398
160.9215,160.912,160.8585,160.933,1389
160.9115,160.864,160.845,160.926,1054
160.8645,160.8655,160.8325,160.8775,833
160.866,160.806,160.7885,160.901,1188
160.805,160.7615,160.7535,160.8255,868
160.762,160.8085,160.7525,160.8215,940
160.809,160.851,160.8015,160.8875,862
160.8515,160.8045,160.791,160.8565,1124
160.8055,160.7325,160.7225,160.82,942
160.732,160.7655,160.732,160.786,952
160.766,160.765,160.688,160.7665,1096
160.7655,160.8435,160.763,160.8445,1175
160.842,160.9115,160.8385,160.9355,1093
160.9105,160.8815,160.8765,160.936,1711
160.881,160.873,160.8425,160.9105,1452
160.8685,160.9375,160.865,160.951,1306
160.937,160.8935,160.8815,160.968,1267
160.8945,160.9135,160.884,160.919,1141
160.914,160.8725,160.857,160.9355,1114
160.8725,160.843,160.8405,160.8965,1533
160.8435,160.8305,160.8105,160.8805,1476
160.8305,160.765,160.7625,160.869,1273
160.764,160.764,160.73,160.787,1271
160.7625,160.7345,160.7275,160.7865,1083
160.734,160.7425,160.724,160.8155,1520
160.742,160.696,160.664,160.7425,1591
160.6965,160.73,160.656,160.749,1684
160.731,160.6435,160.631,160.74,1409
160.643,160.5965,160.5915,160.6965,1180
160.598,160.4855,160.458,160.599,2390
160.485,160.254,160.2075,160.5175,3621
160.255,160.4515,160.2285,160.5265,3054
160.451,160.334,160.3145,160.4805,2696
160.3345,160.328,160.3065,160.4165,2610
160.3295,160.286,160.2815,160.3935,2687
160.2875,160.3155,160.2205,160.321,2477
160.316,160.2805,160.276,160.3635,2284
160.2815,160.3225,160.2705,160.3495,2167
160.323,160.316,160.273,160.4045,2796
160.315,160.219,160.1745,160.347,2644
160.218,160.138,160.1115,160.226,2200
160.1385,160.2465,160.114,160.2465,2231
160.2495,160.3785,160.2495,160.3825,2520
160.3775,160.4125,160.3625,160.511,3128
160.4115,160.3285,160.328,160.443,2657
160.328,160.3395,160.262,160.419,3613
160.34,160.403,160.288,160.4415,3425
160.406,160.4035,160.367,160.441,3021
160.4025,160.6275,160.398,160.6535,3952
160.627,160.586,160.5215,160.641,3930
160.5855,160.657,160.5835,160.6785,3530
