time,result
2025-04-18 20:36:02,win
2025-04-18 20:37:02,win
2025-04-18 21:01:02,win
2025-04-18 21:02:02,win
2025-04-18 21:03:02,lose
2025-04-18 21:04:02,win
2025-04-18 21:26:02,lose
2025-04-18 21:32:02,win
2025-04-18 21:36:02,lose
2025-04-18 21:40:02,lose
2025-04-18 21:41:02,win
2025-04-18 21:42:02,draw
2025-04-18 21:43:02,lose
2025-04-18 21:44:02,lose
2025-04-18 21:45:02,win
