time,result
2025-04-16 17:19:02,win
2025-04-16 17:25:02,lose
2025-04-16 17:26:02,lose
2025-04-16 17:27:02,win
2025-04-16 17:33:02,lose
2025-04-16 17:34:02,lose
2025-04-16 17:35:02,lose
2025-04-16 17:36:02,win
2025-04-16 17:37:02,win
2025-04-16 17:42:02,win
2025-04-16 17:53:02,lose
2025-04-16 17:54:02,win
2025-04-16 17:58:02,win
2025-04-16 18:06:02,lose
2025-04-16 18:07:02,lose
2025-04-16 18:08:02,win
2025-04-16 18:13:02,win
2025-04-16 18:19:02,win
2025-04-16 18:20:02,lose
2025-04-16 18:21:02,lose
2025-04-16 18:22:02,lose
2025-04-16 18:23:02,win
2025-04-16 18:27:02,lose
2025-04-16 18:28:02,win
2025-04-16 18:29:02,win
2025-04-16 18:32:02,lose
2025-04-16 18:35:02,win
2025-04-16 18:36:02,win
