time,result
2025-04-17 15:18:02,win
2025-04-17 15:30:02,lose
2025-04-17 15:31:02,lose
2025-04-17 15:32:02,win
2025-04-17 15:33:02,win
2025-04-17 15:36:02,win
2025-04-17 15:39:02,lose
2025-04-17 15:40:02,lose
2025-04-17 15:41:02,lose
2025-04-17 15:44:02,win
2025-04-17 15:49:02,lose
2025-04-17 15:50:02,win
2025-04-17 15:59:02,lose
2025-04-17 16:00:02,win
2025-04-17 16:20:02,win
2025-04-17 16:21:02,win
2025-04-17 16:34:02,lose
2025-04-17 16:35:02,lose
2025-04-17 16:36:02,win
2025-04-17 16:39:02,lose
2025-04-17 16:40:02,win
2025-04-17 16:43:02,lose
2025-04-17 16:44:02,win
2025-04-17 16:47:02,win
2025-04-17 16:54:02,win
2025-04-17 16:58:02,win
2025-04-17 17:04:02,lose
2025-04-17 17:09:02,win
2025-04-17 17:22:02,lose
2025-04-17 17:23:02,lose
2025-04-17 17:24:02,win
2025-04-17 17:30:02,win
2025-04-17 17:31:02,lose
2025-04-17 17:32:02,lose
2025-04-17 18:01:02,win
2025-04-17 18:06:02,lose
2025-04-17 18:07:02,lose
2025-04-17 18:08:02,lose
2025-04-17 18:09:02,lose
2025-04-17 18:20:02,lose
2025-04-17 18:21:02,win
2025-04-17 18:28:02,win
2025-04-17 18:29:02,win
2025-04-17 18:30:02,win
2025-04-17 18:33:02,win
2025-04-17 18:36:02,lose
2025-04-17 18:37:02,win
2025-04-17 18:40:02,win
2025-04-17 18:44:02,lose
2025-04-17 18:45:02,win
