time,result
2025-04-21 19:21:02,win
2025-04-21 19:22:02,win
2025-04-21 19:35:02,lose
2025-04-21 19:42:02,win
2025-04-21 19:45:02,lose
2025-04-21 19:46:02,lose
2025-04-21 19:47:02,lose
2025-04-21 19:48:02,lose
2025-04-21 19:54:02,lose
2025-04-21 19:55:02,win
2025-04-21 19:58:02,win
2025-04-21 19:59:02,lose
2025-04-21 20:00:02,lose
2025-04-21 20:01:02,lose
2025-04-21 20:02:02,win
2025-04-21 20:15:02,win
2025-04-21 20:33:02,win
2025-04-21 20:39:02,lose
2025-04-21 20:42:02,lose
2025-04-21 20:43:02,lose
2025-04-21 20:44:02,win
2025-04-21 20:45:02,lose
2025-04-21 20:46:02,lose
2025-04-21 20:47:02,win
2025-04-21 20:50:02,win
2025-04-21 20:51:02,win
2025-04-21 20:54:02,lose
2025-04-21 20:55:02,win
2025-04-21 20:56:02,win
2025-04-21 21:00:02,win
2025-04-21 21:03:02,win
2025-04-21 21:06:02,lose
2025-04-21 21:33:02,lose
2025-04-21 21:50:02,win
