time,result
2025-04-16 18:59:02,win
2025-04-16 19:00:02,lose
2025-04-16 19:01:02,lose
2025-04-16 19:02:02,win
2025-04-16 19:03:02,win
2025-04-16 19:21:02,lose
2025-04-16 19:25:02,lose
2025-04-16 19:26:02,lose
2025-04-16 19:27:02,win
2025-04-16 19:41:02,lose
2025-04-16 19:42:02,win
2025-04-16 19:43:02,win
2025-04-16 19:46:02,win
2025-04-16 19:51:02,lose
2025-04-16 19:52:02,win
2025-04-16 19:53:02,win
2025-04-16 20:02:02,lose
2025-04-16 20:03:02,win
2025-04-16 20:06:02,lose
2025-04-16 20:07:02,win
2025-04-16 20:10:02,win
